#sigma,tau
1.3717189657021887,210.99882360137843
1.3920483561266037,210.51337677868287
1.5832200002831298,190.1941609504649
1.5662437920017809,194.48235490318388
1.5721484783816406,194.1282243136842
1.4380248896932248,205.61107351469204
1.4766054876794024,201.73333622046323
1.4910207499068184,201.58897290985092
1.4113414035684893,207.89826257710658
1.5701336376536732,193.62410156139745
1.4015425881259118,201.38069219465967
1.4000181956724627,211.2329127399888
1.4064558344058065,208.1692770232012
1.4306555676205674,208.39953677660392
1.4201026087461817,204.86220022175294
1.4338332126615712,205.4856270908129
1.5712068414773155,191.88106128611918
1.6492438142143107,193.48971193821123
1.5208902541545628,199.93325474038522
1.4834530318180168,199.3317110461029
1.5805285676449414,198.3231489718192
1.4527780207330563,204.42288362121266
1.5762293938271092,192.58904370233435
1.622127184028442,191.92551444466358
1.4236234122668747,204.51341577786624
1.4846500706131645,198.57250321369784
1.4992551204100992,198.4878145581642
1.3423163352704033,214.51593114242397
1.4116080983957082,206.56126208586923
1.5037984439625052,198.39066529257093
1.4712240568971506,199.99487370785548
1.4056393530748117,207.36548090407842
1.467805646298827,199.00624359812358
1.3727830361585422,210.72203099101355
1.5329836101943073,199.92473733143703
1.5153857015202148,197.88248876739002
1.4247849121640912,204.59752220341315
1.487165355004004,199.64224477583022
1.4335224254417465,206.0054491869237
1.4778770510624173,202.15366501286687
1.4434478168221143,205.6560598450594
1.4746360477570906,200.14163000874476
1.4066396647624013,210.32008913581146
1.4697678383154613,202.19894984638194
1.3892949933112626,204.51695324146039
1.4307145661967169,205.72110638242367
1.4874005454874015,200.00451757347352
1.6206005875419782,188.62669436467957
1.4237907371654908,205.97920875643052
1.4038126572918994,213.74939608769566
1.4715308279083223,201.27328997844177
1.4547919312911823,206.05474028116183
1.4840869903353693,197.07248630175823
1.5521287927092975,195.10630837330626
1.4702256614946407,203.84749845635315
1.4397766983510785,204.56797004792787
1.6019222025261406,191.04085194816872
1.459733686046568,202.21652847539076
1.3895567016404724,212.3577269266553
1.5250840920051607,196.27878335209718
1.3717104109590517,211.85612321222996
1.5781572711312977,194.22498782820603
1.4922906700642078,199.60493381971318
1.3594656850667544,207.92375468297652
1.4597698930310548,200.48262628633054
1.4962339035603398,198.9762262138291
1.5584894762501753,194.7198273353759
1.4568500225436958,202.8476240551405
1.4106444966873262,207.97047684196596
1.3553307800953756,213.33075509729898
1.5189786807779726,196.8693988577092
1.5356995182773383,196.8774405272327
1.53156890231681,197.32336542053008
1.3736769148894508,205.92942321937406
1.5491360080407384,194.652803222097
1.4935283467251887,203.47348251358505
1.3751499344928613,209.9965810549597
1.4564697488980742,202.76558377192546
1.5311698395751565,195.2734716728768
1.4242061410120228,205.37276132035925
1.5082902444348136,200.2442432420424
1.3797951783097526,209.46110747689949
1.5248521958778698,198.96471613687703
1.3589229700115186,211.29408498350065
1.652300803719619,186.4385192972767
1.4727219931388928,194.06690167990408
1.5723061685164843,192.460313521706
1.4956921473915044,198.12069835925467
1.4409627022424503,204.5466294345426
1.5447661213115413,191.98408269470343
1.4089909563932044,210.20735542746817
1.5438864990017223,195.21138873323395
1.3993198124785013,204.83773175399918
1.5180951520438992,196.27397341174384
1.6089992807084834,191.24850811226509
1.5679570773279348,194.4689326430122
1.6034118573758356,194.16493164461878
1.4658757223221823,203.2025509645083
1.4219253274767358,205.05494234618337
1.6346487350784955,189.5644489273705
1.3717189657021887,210.99882360137843
1.420743469063137,207.4466831726918
1.5198795885916105,197.3950500135577
1.5640624615221979,194.5936720703746
1.6062442929219058,191.6115136415425
1.4389679616186677,205.51506952258615
1.4790692212011893,201.5300416881248
1.5491039795247965,195.96940184709288
1.4539333867428463,203.5068961705909
1.6243381886932666,191.5767125562566
1.4767418646986101,198.04788098127204
1.3922349812246655,210.72797333404066
1.396407306970153,209.12024362822578
1.419989612015792,209.37466686697238
1.347777899548096,210.85493263691254
1.4370515025849477,205.2528619238603
1.6326304894185641,185.18848559460176
1.6074884863261025,194.3471452134278
1.4695790118531018,204.48355386424615
1.4936479834652467,198.3498987227196
1.6437331638684425,195.5427384449181
1.435072079038406,206.81681690733407
1.54006200837746,195.05319397081587
1.5791816866641522,194.73633166515296
1.433148557532826,203.84667482941654
1.5099986846520312,196.11882485097786
1.5016870788662957,198.09624599972463
1.3423163352704033,214.51593114242397
1.4116080983957082,206.56126208586923
1.5037984439625052,198.39066529257093
1.4633412675146678,200.39039635368712
1.3987551189394347,207.89840131053833
1.467805646298827,199.00624359812358
1.3813611740235487,210.01982535823478
1.5794743770841995,197.13910846986158
1.5153857015202148,197.88248876739002
1.4292216687194552,204.56960531803293
1.481965863589768,200.02695527659017
1.401815328141363,209.26655195892874
1.4934060258769826,200.78129365614416
1.4648342672600798,203.0171261961944
1.4746360477570906,200.14163000874476
1.426148631275388,207.55846030544254
1.4618647330230607,202.68027357377582
1.3892949933112626,204.51695324146039
1.4228245185588602,210.38851216526783
1.4761234895783246,201.38248005993933
1.6183453152563807,188.79561037044266
1.4381644707858299,205.58469134665597
1.414915751772723,215.20020576637336
1.5072373718040102,197.41007061137648
1.4848330188182115,199.57794622306332
1.4950980902294329,196.12380993037257
1.5714782352029646,193.6859491546131
1.5257607989565842,198.21043574044603
1.447384283338494,203.9820425569531
1.6153948382792527,190.82407840726944
1.459733686046568,202.21652847539076
1.3895567016404724,212.3577269266553
1.5250840920051607,196.27878335209718
1.4037111597104963,208.6410157472593
1.6109863112564535,192.24623600306413
1.4922906700642078,199.60493381971318
1.3794726334686511,207.22612324968645
1.462340612206623,200.42944397640983
1.5025145767956554,198.51861182675353
1.5584894762501753,194.7198273353759
1.4335836895474263,204.99152245630646
1.4269655206233252,205.43197173931208
1.3666015372838796,213.68932654696806
1.5075059006999205,198.03480928075103
1.5196632805841144,198.16637122143854
1.5300118464865338,197.44754591434642
1.416246963773655,204.2500088925732
1.5491360080407384,194.652803222097
1.4306206618154338,210.4828128374316
1.3766209047268574,209.93538643426072
1.501520068956013,199.2777824874708
1.5391234919411376,194.2260400725979
1.4242061410120228,205.37276132035925
1.4245682430463802,209.38010735035311
1.3771574360217924,209.72150487233083
1.4749845381143816,202.33550729563706
1.3589229700115186,211.29408498350065
1.6317895010476493,188.32241026531767
1.4759717556397915,195.51552609967592
1.5826083806686384,191.48475913675955
1.4976384117945136,198.04151571990334
1.4666045435421609,201.5647260786341
1.5447661213115413,191.98408269470343
1.4006751431192457,212.59366643360138
1.6104824331115382,190.47542629277518
1.471920515908698,200.80573140064877
1.5134393482428414,196.52153392251478
1.6089992807084834,191.24850811226509
1.5686086081173458,194.46261026125634
1.6034118573758356,194.16493164461878
1.542506551431872,198.696232337765
1.432178429063136,204.25321988828324
1.5468420563550713,196.14623334924065
1.3717189657021887,210.99882360137843
1.420743469063137,207.4466831726918
1.5198795885916105,197.3950500135577
1.5640624615221979,194.5936720703746
1.6020056730703456,191.86857897727043
1.4347356224779189,205.80610949739304
1.478145011651383,201.9100454795972
1.49038682315338,199.84286837788827
1.4396816221156363,208.91564527141696
1.602370254817469,192.93065153746508
1.3919323703417095,202.09127524875151
1.3922349812246655,210.72797333404066
1.3751863294418165,211.41112018947496
1.4134521230715298,208.6920164024411
1.4045002313327721,206.35939991572633
1.452650741137993,203.68629864786175
1.566708322179408,191.68791953181213
1.6078620185748633,194.34505504705743
1.466472386909475,209.00377312955337
1.4859459589088564,199.21138623832687
1.6283121269392846,196.17438525815763
1.4819128133122679,203.89241634145836
1.5170822424837387,196.96428151274984
1.5845409317382235,195.46739711483292
1.433148557532826,203.84667482941654
1.5708049637519077,191.4571299333924
1.5028440709121322,198.11186199753374
1.3423163352704033,214.51593114242397
1.404488288438974,205.0982137957093
1.4793041981007824,200.95009271080812
1.4331887279087006,204.61665308833702
